symbol,company_name,current_price,price_change,price_change_percent,volume_ratio,ma20_1d,ma50_1d,atr14,vwap_60m,bb_upper_60m,bb_lower_60m
7203.T,トヨタ自動車,2775.5,-69.0,-2.425733872385305,0.006499470271932739,2545.7,2586.09,72.71428571428571,2670.8441955477506,2903.962737462814,2758.3372625371862
9984.T,ソフトバンクグループ,12185.0,35.0,0.2880658436213992,0.004041664598563436,10863.25,9192.32,349.2857142857143,11021.869936797077,12399.405753998391,11730.094246001609
6758.T,6758.T,3702.0,-85.0,-2.244520728809084,0.00375958542687667,3651.5,3703.16,94.35714285714286,3649.967082963961,3830.625579415416,3665.4744205845845
7974.T,7974.T,12845.0,-355.0,-2.6893939393939394,0.007929313074905416,13019.0,12492.9,305.35714285714283,12927.94004498828,13352.167518030534,12740.832481969466
6723.T,ルネサスエレクトロニクス,1834.0,-83.0,-4.329681794470527,0.008673782139276942,1871.125,1857.78,79.85714285714286,1882.6004697361966,1972.5919446262212,1798.7580553737787
9434.T,9434.T,218.1999969482422,-1.600006103515625,-0.7279372526391006,0.004032378577690895,219.61000061035156,219.43599975585937,2.292858668736049,219.28769315612047,220.1552889828737,217.8147091860716
4385.T,4385.T,2350.5,-65.5,-2.711092715231788,0.005523071504050722,2511.3,2517.27,80.25,2488.542731278108,2468.8534377191445,2338.8965622808555
3659.T,3659.T,2663.0,-73.0,-2.66812865497076,0.0166089814159703,2797.025,2712.6358984375,66.32142857142857,2780.8745255166596,2788.667395081173,2658.582604918827
4689.T,4689.T,561.7000122070312,-3.39996337890625,-0.601656967934022,0.0028574153596887426,532.9050018310547,528.5000012207031,12.092860630580358,534.1730657384238,574.0691205525065,545.250874564681
